systemOperation;ID;invariantType;classification;GPT_verdict;result;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations;GPT_Model
Yelp_getBusinesses;45;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;598;201;799;10000;GPT-3.5
Yelp_getBusinesses;46;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;650;221;871;10000;GPT-3.5
Yelp_getBusinesses;47;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.95;660;280;940;10000;GPT-3.5
Yelp_getBusinesses;48;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.9;692;225;917;100;GPT-3.5
Yelp_getBusinesses;49;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;TN;0.9;694;249;943;10000;GPT-3.5
Yelp_getBusinesses;50;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;TP;0.95;694;259;953;10000;GPT-3.5
Yelp_getBusinesses;51;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;681;233;914;100;GPT-3.5
Yelp_getBusinesses;52;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;714;220;934;50;GPT-3.5
Yelp_getBusinesses;53;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;716;243;959;50;GPT-3.5
Yelp_getBusinesses;54;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;701;242;943;100;GPT-3.5
Yelp_getBusinesses;55;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;695;253;948;50;GPT-3.5
Yelp_getBusinesses;56;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;TP;0.95;678;258;936;10000;GPT-3.5
Yelp_getBusinesses;57;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;FP;0.9;753;205;958;10000;GPT-3.5
Yelp_getBusinesses;58;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.8;689;223;912;100;GPT-3.5
Yelp_getBusinesses;59;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;TN;0.9;689;282;971;50;GPT-3.5
Yelp_getBusinesses;60;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;745;223;968;10000;GPT-3.5
Yelp_getBusinesses;61;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;835;232;1067;10000;GPT-3.5
Yelp_getBusinesses;62;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;830;175;1005;10000;GPT-3.5
Yelp_getBusinesses;63;daikon.inv.unary.string.IsNumeric;FP;TP;FP;0.9;692;215;907;100;GPT-3.5
Yelp_getBusinesses;64;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;994;248;1242;10000;GPT-3.5
Yelp_getBusinesses;65;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;695;189;884;10000;GPT-3.5
Yelp_getBusinesses;66;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;900;245;1145;100;GPT-3.5
Yelp_getBusinesses;67;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;748;314;1062;10000;GPT-3.5
Yelp_getBusinesses;68;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;868;319;1187;10000;GPT-3.5
Yelp_getBusinesses;69;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;760;262;1022;10000;GPT-3.5
Yelp_getBusinesses;70;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;TN;0.9;847;294;1141;10000;GPT-3.5
Yelp_getBusinesses;71;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;FP;0.95;787;188;975;10000;GPT-3.5
Yelp_getBusinesses;72;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;FP;0.95;787;223;1010;10000;GPT-3.5
Yelp_getBusinesses;73;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.95;744;253;997;500;GPT-3.5
Yelp_getBusinesses;74;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;681;263;944;100;GPT-3.5
Yelp_getBusinesses;75;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;685;235;920;100;GPT-3.5
Yelp_getBusinesses;76;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;703;258;961;10000;GPT-3.5
Yelp_getBusinesses;77;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;TN;0.9;688;233;921;10000;GPT-3.5
Yelp_getBusinesses;78;daikon.inv.unary.scalar.LowerBound;TP;TP;TP;0.9;794;279;1073;10000;GPT-3.5
Yelp_getBusinesses;79;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.95;738;231;969;10000;GPT-3.5
Yelp_getBusinesses;80;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;FP;0.9;759;263;1022;10000;GPT-3.5
Yelp_getBusinesses;81;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.95;763;271;1034;1000;GPT-3.5
Yelp_getBusinesses;82;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;781;246;1027;500;GPT-3.5
Yelp_getBusinesses;83;daikon.inv.unary.scalar.NonZeroFloat;FP;TP;FP;0.95;687;243;930;10000;GPT-3.5
Yelp_getBusinesses;84;daikon.inv.unary.scalar.NonZeroFloat;FP;TP;FP;0.95;683;224;907;10000;GPT-3.5
Yelp_getBusinesses;85;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.95;698;228;926;10000;GPT-3.5
Yelp_getBusinesses;86;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;750;270;1020;1000;GPT-3.5
Yelp_getBusinesses;87;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.95;747;255;1002;1000;GPT-3.5
Yelp_getBusinesses;88;daikon.inv.unary.scalar.LowerBoundFloat;TP;TP;TP;0.95;687;252;939;10000;GPT-3.5
Spotify_getAlbumTracks;0;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.95;702;209;911;10000;GPT-3.5
Spotify_getAlbumTracks;1;daikon.inv.unary.string.OneOfString;TP;TP;TP;0.9;762;264;1026;10000;GPT-3.5
Spotify_getAlbumTracks;2;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;775;247;1022;10000;GPT-3.5
Spotify_getAlbumTracks;3;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.9;774;245;1019;10000;GPT-3.5
Spotify_getAlbumTracks;4;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.9;784;196;980;10000;GPT-3.5
Spotify_getAlbumTracks;5;daikon.inv.unary.scalar.LowerBound;TP;TP;TP;0.9;734;227;961;10000;GPT-3.5
Spotify_getAlbumTracks;6;daikon.inv.unary.scalar.NonZero;TP;TP;TP;0.95;663;227;890;10000;GPT-3.5
Spotify_getAlbumTracks;7;daikon.inv.unary.scalar.OneOfScalar;TP;TP;TP;0.95;718;261;979;10000;GPT-3.5
Spotify_getAlbumTracks;8;daikon.inv.unary.string.OneOfString;TP;TP;TP;0.95;780;247;1027;10000;GPT-3.5
Spotify_getAlbumTracks;9;daikon.inv.unary.string.OneOfString;FP;TP;FP;0.9;726;224;950;100;GPT-3.5
Spotify_getAlbumTracks;10;daikon.inv.unary.scalar.LowerBound;TP;TP;TP;0.9;741;218;959;10000;GPT-3.5
Spotify_getAlbumTracks;11;daikon.inv.unary.string.OneOfString;TP;TP;TP;0.9;722;226;948;10000;GPT-3.5
Spotify_getAlbumTracks;12;daikon.inv.unary.scalar.LowerBound;TP;TP;TP;0.95;792;238;1030;10000;GPT-3.5
Spotify_getAlbumTracks;13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;793;251;1044;100;GPT-3.5
Spotify_getAlbumTracks;14;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;FP;0.95;791;252;1043;10000;GPT-3.5
Spotify_getAlbumTracks;15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;826;222;1048;50;GPT-3.5
Spotify_getAlbumTracks;16;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;FP;0.9;748;254;1002;100;GPT-3.5
Spotify_getAlbumTracks;17;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;FP;0.95;780;198;978;10000;GPT-3.5
Spotify_getAlbumTracks;18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;818;193;1011;100;GPT-3.5
Spotify_getAlbumTracks;19;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;FP;0.95;737;262;999;100;GPT-3.5
Spotify_getAlbumTracks;20;daikon.inv.binary.sequenceString.MemberString;FP;TP;FP;0.9;741;250;991;10000;GPT-3.5
Spotify_getAlbumTracks;21;daikon.inv.binary.sequenceString.MemberString;FP;FP;TN;0.9;738;259;997;10000;GPT-3.5
Spotify_getAlbumTracks;22;daikon.inv.binary.sequenceString.MemberString;FP;TP;FP;0.9;782;264;1046;10000;GPT-3.5
Spotify_getAlbumTracks;23;daikon.inv.binary.sequenceString.MemberString;FP;FP;TN;0.9;783;283;1066;10000;GPT-3.5
Spotify_getAlbumTracks;24;daikon.inv.binary.sequenceString.MemberString;FP;FP;TN;1.0;782;293;1075;10000;GPT-3.5
Spotify_getAlbumTracks;25;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;FP;0.95;795;210;1005;10000;GPT-3.5
Spotify_getAlbumTracks;26;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;FP;0.9;743;257;1000;100;GPT-3.5
Spotify_getAlbumTracks;27;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;FP;0.95;801;239;1040;10000;GPT-3.5
Spotify_getAlbumTracks;28;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;TN;0.9;812;189;1001;10000;GPT-3.5
Spotify_getAlbumTracks;29;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;TN;0.9;831;267;1098;10000;GPT-3.5
Spotify_getAlbumTracks;30;daikon.inv.binary.twoScalar.IntLessThan;FP;TP;FP;0.9;750;236;986;100;GPT-3.5
Spotify_getAlbumTracks;31;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;TN;0.9;846;269;1115;100;GPT-3.5
Spotify_getAlbumTracks;32;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.95;751;310;1061;10000;GPT-3.5
Spotify_getAlbumTracks;33;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;738;211;949;10000;GPT-3.5
Spotify_getAlbumTracks;34;daikon.inv.unary.scalar.NonZero;TP;FP;FN;0.9;998;256;1254;10000;GPT-3.5
Spotify_getAlbumTracks;35;daikon.inv.unary.sequence.EltNonZero;TP;TP;TP;0.9;1008;206;1214;10000;GPT-3.5
Spotify_getAlbumTracks;36;daikon.inv.unary.scalar.LowerBound;TP;TP;TP;0.9;688;245;933;10000;GPT-3.5
Spotify_getAlbumTracks;37;daikon.inv.unary.scalar.LowerBound;TP;TP;TP;0.95;681;255;936;10000;GPT-3.5
Spotify_getAlbumTracks;38;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;748;214;962;100;GPT-3.5
Spotify_getAlbumTracks;39;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;741;259;1000;50;GPT-3.5
Spotify_getAlbumTracks;40;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;TP;0.95;1054;277;1331;10000;GPT-3.5
Spotify_getAlbumTracks;41;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.95;730;241;971;100;GPT-3.5
Spotify_getAlbumTracks;42;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;1042;216;1258;50;GPT-3.5
Spotify_getAlbumTracks;43;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;TP;0.9;1047;285;1332;10000;GPT-3.5
Spotify_getAlbumTracks;44;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;732;201;933;100;GPT-3.5
Spotify_getAlbumTracks;45;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;TP;0.9;1038;263;1301;10000;GPT-3.5
Spotify_getAlbumTracks;46;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;844;204;1048;10000;GPT-3.5
Spotify_getAlbumTracks;47;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;839;232;1071;10000;GPT-3.5
Spotify_getAlbumTracks;48;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;842;173;1015;10000;GPT-3.5
Spotify_getAlbumTracks;49;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.9;737;214;951;10000;GPT-3.5
Spotify_getAlbumTracks;50;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.9;862;255;1117;10000;GPT-3.5
Spotify_getAlbumTracks;51;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;1039;262;1301;10000;GPT-3.5
Spotify_getAlbumTracks;52;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;964;285;1249;10000;GPT-3.5
Spotify_getAlbumTracks;53;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;1000;203;1203;10000;GPT-3.5
Spotify_getAlbumTracks;54;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;930;249;1179;10000;GPT-3.5
Spotify_getAlbumTracks;55;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;TP;0.9;745;239;984;10000;GPT-3.5
Spotify_getAlbumTracks;56;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;833;238;1071;10000;GPT-3.5
Spotify_getAlbumTracks;57;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;828;202;1030;10000;GPT-3.5
Spotify_getAlbumTracks;58;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;791;224;1015;10000;GPT-3.5
Spotify_getAlbumTracks;59;daikon.inv.unary.string.FixedLengthString;TP;FP;FN;1.0;850;220;1070;10000;GPT-3.5
Spotify_getAlbumTracks;60;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;845;191;1036;10000;GPT-3.5
Spotify_getAlbumTracks;61;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;859;258;1117;10000;GPT-3.5
Spotify_getAlbumTracks;62;daikon.inv.unary.string.FixedLengthString;TP;FP;FN;0.9;755;216;971;10000;GPT-3.5
Spotify_getAlbumTracks;63;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.9;882;229;1111;10000;GPT-3.5
Spotify_getAlbumTracks;64;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;994;287;1281;10000;GPT-3.5
Spotify_getAlbumTracks;65;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;989;229;1218;10000;GPT-3.5
Spotify_getAlbumTracks;66;daikon.inv.unary.string.FixedLengthString;FP;FP;TN;0.9;701;258;959;100;GPT-3.5
Spotify_getAlbumTracks;67;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.9;697;219;916;10000;GPT-3.5
Spotify_getAlbumTracks;68;daikon.inv.unary.string.FixedLengthString;TP;TP;TP;0.95;816;194;1010;10000;GPT-3.5
Spotify_getAlbumTracks;69;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;975;309;1284;10000;GPT-3.5
Spotify_getAlbumTracks;70;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;981;243;1224;10000;GPT-3.5
Spotify_getAlbumTracks;71;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;902;180;1082;10000;GPT-3.5
Spotify_getAlbumTracks;72;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;940;223;1163;10000;GPT-3.5
Spotify_getAlbumTracks;73;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;1071;245;1316;10000;GPT-3.5
Spotify_getAlbumTracks;74;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;993;244;1237;10000;GPT-3.5
Spotify_getAlbumTracks;75;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;919;205;1124;10000;GPT-3.5
Spotify_getAlbumTracks;76;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;1040;227;1267;10000;GPT-3.5
Spotify_getAlbumTracks;77;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;957;309;1266;10000;GPT-3.5
Spotify_getAlbumTracks;78;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;940;260;1200;10000;GPT-3.5
Spotify_getAlbumTracks;79;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;938;253;1191;10000;GPT-3.5
Spotify_getAlbumTracks;80;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;866;209;1075;10000;GPT-3.5
Spotify_getAlbumTracks;81;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;847;165;1012;10000;GPT-3.5
Spotify_getAlbumTracks;82;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.9;855;240;1095;10000;GPT-3.5
Spotify_getAlbumTracks;83;daikon.inv.unary.string.IsUrl;TP;TP;TP;0.95;876;198;1074;10000;GPT-3.5
Spotify_getAlbumTracks;84;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;1010;243;1253;10000;GPT-3.5
Spotify_getAlbumTracks;85;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;1008;274;1282;10000;GPT-3.5
Spotify_getAlbumTracks;86;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;1019;258;1277;10000;GPT-3.5
Spotify_getAlbumTracks;87;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.95;950;224;1174;10000;GPT-3.5
Spotify_getAlbumTracks;88;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;942;219;1161;10000;GPT-3.5
Spotify_getAlbumTracks;89;daikon.inv.binary.twoString.StdString$SubString;TP;TP;TP;0.9;942;292;1234;10000;GPT-3.5
Spotify_getAlbumTracks;90;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;827;226;1053;100;GPT-3.5
Spotify_getAlbumTracks;91;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;829;288;1117;100;GPT-3.5
Spotify_getAlbumTracks;92;daikon.inv.unary.string.OneOfString;FP;TP;FP;0.9;745;219;964;10000;GPT-3.5
Spotify_getAlbumTracks;93;daikon.inv.unary.scalar.NonZero;FP;TP;FP;0.9;737;250;987;10000;GPT-3.5
Spotify_getAlbumTracks;94;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;FP;0.9;796;230;1026;1000;GPT-3.5
Spotify_getAlbumTracks;95;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.95;833;289;1122;10000;GPT-3.5
Spotify_getAlbumTracks;96;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;835;292;1127;10000;GPT-3.5
Spotify_getAlbumTracks;97;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;822;273;1095;10000;GPT-3.5
Spotify_getAlbumTracks;98;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;762;239;1001;1000;GPT-3.5
Spotify_getAlbumTracks;99;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;FP;0.9;768;248;1016;10000;GPT-3.5
Spotify_getAlbumTracks;100;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;845;266;1111;10000;GPT-3.5
Spotify_getAlbumTracks;101;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;TN;0.9;849;261;1110;10000;GPT-3.5
Spotify_getAlbumTracks;102;daikon.inv.unary.scalar.LowerBound;TP;TP;TP;0.95;690;243;933;10000;GPT-3.5
GitHub_createOrganizationRepository;0;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;999;231;1230;10000;GPT-3.5
GitHub_createOrganizationRepository;1;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.95;989;208;1197;10000;GPT-3.5
GitHub_createOrganizationRepository;2;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.95;1000;260;1260;10000;GPT-3.5
GitHub_createOrganizationRepository;3;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;1082;268;1350;10000;GPT-3.5
GitHub_createOrganizationRepository;4;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;1051;205;1256;10000;GPT-3.5
GitHub_createOrganizationRepository;5;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;921;264;1185;10000;GPT-3.5
GitHub_createOrganizationRepository;6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;958;213;1171;10000;GPT-3.5
GitHub_createOrganizationRepository;7;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;931;237;1168;10000;GPT-3.5
GitHub_createOrganizationRepository;8;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;935;237;1172;10000;GPT-3.5
GitHub_createOrganizationRepository;9;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.95;1062;301;1363;100;GPT-3.5
GitHub_createOrganizationRepository;10;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.95;955;293;1248;10000;GPT-3.5
GitHub_createOrganizationRepository;11;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;942;199;1141;10000;GPT-3.5
GitHub_createOrganizationRepository;12;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;950;217;1167;10000;GPT-3.5
GitHub_createOrganizationRepository;13;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;950;250;1200;10000;GPT-3.5
GitHub_createOrganizationRepository;14;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;929;297;1226;10000;GPT-3.5
GitHub_createOrganizationRepository;15;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;947;320;1267;10000;GPT-3.5
GitHub_createOrganizationRepository;16;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;905;232;1137;10000;GPT-3.5
GitHub_createOrganizationRepository;17;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;919;247;1166;10000;GPT-3.5
GitHub_createOrganizationRepository;18;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;885;173;1058;10000;GPT-3.5
GitHub_createOrganizationRepository;19;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;889;236;1125;10000;GPT-3.5
GitHub_createOrganizationRepository;20;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;885;256;1141;10000;GPT-3.5
GitHub_createOrganizationRepository;21;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;880;254;1134;10000;GPT-3.5
GitHub_createOrganizationRepository;22;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;886;239;1125;10000;GPT-3.5
GitHub_createOrganizationRepository;23;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;1.0;879;214;1093;10000;GPT-3.5
GitHub_createOrganizationRepository;24;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;877;251;1128;10000;GPT-3.5
GitHub_createOrganizationRepository;25;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;877;246;1123;10000;GPT-3.5
GitHub_createOrganizationRepository;26;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.95;876;285;1161;10000;GPT-3.5
GitHub_createOrganizationRepository;27;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;845;267;1112;10000;GPT-3.5
GitHub_createOrganizationRepository;28;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;902;208;1110;10000;GPT-3.5
GitHub_createOrganizationRepository;29;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.6;902;211;1113;10000;GPT-3.5
GitHub_createOrganizationRepository;30;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;905;241;1146;10000;GPT-3.5
GitHub_createOrganizationRepository;31;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;902;221;1123;10000;GPT-3.5
GitHub_createOrganizationRepository;32;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;906;211;1117;10000;GPT-3.5
GitHub_createOrganizationRepository;33;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;949;208;1157;10000;GPT-3.5
GitHub_createOrganizationRepository;34;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;1019;220;1239;10000;GPT-3.5
GitHub_createOrganizationRepository;35;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;1115;247;1362;10000;GPT-3.5
GitHub_createOrganizationRepository;36;daikon.inv.binary.twoString.StringEqual;TP;FP;FN;0.9;963;224;1187;10000;GPT-3.5
GitHub_createOrganizationRepository;37;daikon.inv.binary.twoString.StringEqual;TP;FP;FN;0.8;1037;265;1302;10000;GPT-3.5
GitHub_createOrganizationRepository;38;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;1022;237;1259;10000;GPT-3.5
GitHub_createOrganizationRepository;39;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;1149;280;1429;10000;GPT-3.5
GitHub_createOrganizationRepository;40;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;1133;286;1419;10000;GPT-3.5
GitHub_createOrganizationRepository;41;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.95;1185;233;1418;10000;GPT-3.5
GitHub_createOrganizationRepository;42;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;1197;229;1426;10000;GPT-3.5
GitHub_createOrganizationRepository;43;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.95;1125;211;1336;10000;GPT-3.5
GitHub_createOrganizationRepository;44;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.95;1141;280;1421;10000;GPT-3.5
GitHub_createOrganizationRepository;45;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;1135;227;1362;10000;GPT-3.5
GitHub_createOrganizationRepository;46;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.95;1079;237;1316;10000;GPT-3.5
GitHub_createOrganizationRepository;47;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.95;1163;252;1415;10000;GPT-3.5
GitHub_createOrganizationRepository;48;daikon.inv.binary.twoString.StringEqual;TP;FP;FN;0.8;920;212;1132;10000;GPT-3.5
GitHub_createOrganizationRepository;49;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.8;894;205;1099;10000;GPT-3.5
GitHub_createOrganizationRepository;50;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;894;257;1151;10000;GPT-3.5
GitHub_createOrganizationRepository;51;daikon.inv.binary.twoString.StringEqual;TP;TP;TP;0.9;1115;261;1376;10000;GPT-3.5
GitHub_createOrganizationRepository;52;daikon.inv.binary.twoScalar.IntEqual;TP;TP;TP;0.9;875;257;1132;10000;GPT-3.5
GitHub_createOrganizationRepository;53;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;1.0;883;240;1123;10000;GPT-3.5
GitHub_createOrganizationRepository;54;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;0.9;883;256;1139;10000;GPT-3.5
GitHub_createOrganizationRepository;55;daikon.inv.binary.twoScalar.IntEqual;TP;FP;FN;1.0;878;210;1088;10000;GPT-3.5
